"term","afraid","amused","angry","annoyed","dont_care","happy","inspired","sad"
"sheriff",0,0,0.638058,0.002741,0,0.000207,0,99.358995
"gap-toothed",0,0.000312,0,0,0,99.999688,0,0
"voodoo",0.000149,76.062098,0,23.937752,0,1e-06,0,0
"disputed",0,0,99.999697,0,0,0.000303,0,0
"gratified",0,0,0,99.99999,0,0,9e-06,0
"staff",36.943117,27.415545,0.101944,12.561629,0.047497,0.253956,22.589432,0.08688
"conventionally",0,99.999977,0,2.2e-05,0,0,0,0
"pluralism",0,99.999995,0,0,0,5e-06,0,0
"dismissive",32.602643,0,0,67.397357,0,0,0,0
"major",16.955041,0.002395,39.416196,1.7e-05,1e-06,36.352082,1.679797,5.594471
"chamberlain",70.956881,0,0,0,0,20.116028,8.927091,0
"unpick",0.010196,0,5.7e-05,0,0,99.989698,0,4.9e-05
"siamese",0,0,75.728262,1e-06,1e-06,24.270063,0.001373,0.000299
"spunky",0,0.304006,1.2e-05,0,0,0,5.847873,93.848109
"impale",0,88.433907,0,0,0,0,11.566093,0
"solemnly",0,0,13.658857,86.341091,4.6e-05,2e-06,3e-06,0
"reactionary",99.999998,0,0,0,0,0,2e-06,0
"nirvana",0,99.999748,0,0,0,0.000252,0,0
"bourdon",0,0,0,0,0,100,0,0
"retiree",0,4.7e-05,0,0,0,0,0,99.999952
"combination",1.172374,11.470364,2e-06,0.000859,1.5e-05,49.613359,37.742944,8.3e-05
"carton",0,0.010019,0,0,0.891867,99.098115,0,0
"airspace",0,41.016827,5e-05,32.608345,26.374677,1e-06,0,1e-04
"meticulous",0,0,0,0,0,100,0,0
"theorise",0,33.047604,0,0,0,0,66.952396,0
"belly",0.000132,59.146897,0,0,1.4e-05,40.850372,9e-06,0.002576
"cafeteria",0,0,0,0,0,0.052247,0,99.947753
"aphorism",19.569562,63.400003,0,0,0,0,0,17.030435
"unobtainable",99.802341,0,0.197659,0,0,0,0,0
"fortune",0,0,0,0,0,56.519529,43.480471,0
"composition",5e-06,73.634787,0.001389,1e-06,1.6e-05,15.389792,10.97399,1.9e-05
"lament",25.605066,24.394933,1.5e-05,0.022508,0,6.4e-05,0,49.977415
