"term","sentiment"
"dislikes","-40"
"dismal","-40"
"dismayed","-40"
"dismissed","-40"
"disorder","-40"
"disorders","-40"
"disorganized","-40"
"disoriented","-40"
"disparage","-40"
"disparaged","-40"
"disparages","-40"
"disparaging","-40"
"displeased","-40"
"displeasure","-40"
"disproportionate","-40"
"dispute","-40"
"disputed","-40"
"disputes","-40"
"disputing","-40"
"disqualified","-40"
"disquiet","-40"
"disregard","-40"
"disregarded","-40"
"disregarding","-40"
"disregards","-40"
"disrespect","-40"
"disrespected","-40"
"disrupt","-40"
"disrupted","-40"
"disrupting","-40"
"disruption","-40"
"disruptions","-40"
"disruptive","-40"
"disrupts","-40"
"dissatisfied","-40"
"distasteful","-40"
"distinguished","40"
"distort","-40"
"distorted","-40"
"distorting","-40"
"distorts","-40"
"distract","-40"
"distracted","-40"
"distraction","-40"
"distracts","-40"
"distress","-40"
"distressed","-40"
"distresses","-40"
"distressing","-40"
"distrust","-60"
"distrustful","-60"
"disturb","-40"
"disturbed","-40"
"disturbing","-40"
"disturbs","-40"
"dithering","-40"
"diverting","-20"
"dizzy","-20"
"dodging","-40"
"dodgy","-40"
"does not work","-60"
"dolorous","-40"
"donate","40"
"donated","40"
"donates","40"
"donating","40"
"donation","40"
"dont like","-40"
"doom","-40"
"doomed","-40"
"doubt","-20"
"doubted","-20"
"doubtful","-20"
"doubting","-20"
"doubts","-20"
"douche","-60"
"douchebag","-60"
"dour","-40"
"downcast","-40"
"downer","-40"
"downhearted","-40"
"downside","-40"
"drag","-20"
"dragged","-20"
"drags","-20"
"drained","-40"
"dread","-40"
"dreaded","-40"
"dreadful","-60"
"dreading","-40"
"dream","20"
"dreams","20"
"dreary","-40"
"droopy","-40"
"drop","-20"
"dropped","-20"
"drown","-40"
"drowned","-40"
"drowns","-40"
"drudgery","-40"
"drunk","-40"
"dubious","-40"
"dud","-40"
"dull","-40"
"dumb","-60"
"dumbass","-60"
"dump","-20"
"dumped","-40"
"dumps","-20"
"dupe","-40"
"duped","-40"
"dupery","-40"
"durable","40"
"dying","-60"
"dysfunction","-40"
"eager","40"
"earnest","40"
"ease","40"
"easy","20"
"ecstatic","80"
"eerie","-40"
"eery","-40"
"effective","40"
"effectively","40"
"effectiveness","40"
"effortlessly","40"
"elated","60"
"elation","60"
"elegant","40"
"elegantly","40"
"embarrass","-40"
"embarrassed","-40"
"embarrasses","-40"
"embarrassing","-40"
"embarrassment","-40"
"embezzlement","-60"
"embittered","-40"
"embrace","20"
"emergency","-40"
"empathetic","40"
"empower","40"
"empowerment","40"
"emptiness","-20"
"empty","-20"
"enchanted","40"
"encourage","40"
"encouraged","40"
"encouragement","40"
"encourages","40"
"encouraging","40"
"endorse","40"
"endorsed","40"
"endorsement","40"
"endorses","40"
"enemies","-40"
"enemy","-40"
"energetic","40"
"engage","20"
"engages","20"
"engrossed","20"
"engrossing","60"
"enjoy","40"
"enjoyable","40"
"enjoyed","40"
"enjoying","40"
"enjoys","40"
"enlighten","40"
"enlightened","40"
"enlightening","40"
"enlightens","40"
"ennui","-40"
"enrage","-40"
"enraged","-40"
"enrages","-40"
"enraging","-40"
"enrapture","60"
"enslave","-40"
"enslaved","-40"
"enslaves","-40"
"ensure","20"
"ensuring","20"
"enterprising","20"
"entertaining","40"
"enthral","60"
"enthusiastic","60"
"entitled","20"
"entrusted","40"
"envies","-20"
"envious","-40"
"environment-friendly","40"
"envy","-20"
"envying","-20"
"erroneous","-40"
"error","-40"
"errors","-40"
"escape","-20"
"escapes","-20"
"escaping","-20"
"esteem","40"
"esteemed","40"
"ethical","40"
"euphoria","60"
"euphoric","80"
"evacuate","-20"
"evacuated","-20"
"evacuates","-20"
"evacuating","-20"
"evacuation","-20"
"evergreen","40"
"evergreens","40"
"evergreening","-60"
"eviction","-20"
"evil","-60"
"exacerbate","-40"
"exacerbated","-40"
"exacerbates","-40"
"exacerbating","-40"
"exaggerate","-40"
"exaggerated","-40"
"exaggerates","-40"
"exaggerating","-40"
"exasparate","-40"
"exasperated","-40"
"exasperates","-40"
"exasperating","-40"
"excellence","60"
"excellent","60"
"excite","60"
"excited","60"
"excitement","60"
"exciting","60"
"exclude","-20"
"excluded","-40"
"exclusion","-20"
"exclusive","40"
"excruciatingly","-20"
"excuse","-20"
"exempt","-20"
"exhausted","-40"
"exhilarated","60"
"exhilarates","60"
"exhilarating","60"
"exonerate","40"
"exonerated","40"
"exonerates","40"
"exonerating","40"
"expand","20"
"expands","20"
"expel","-40"
"expelled","-40"
"expelling","-40"
"expels","-40"
"expertly","40"
"exploit","-40"
"exploited","-40"
"exploiting","-40"
"exploits","-40"
"exploration","20"
"explorations","20"
"expose","-20"
"exposed","-20"
"exposes","-20"
"exposing","-20"
"exquisite","60"
"extend","20"
"extends","20"
"extremist","-40"
"extremists","-40"
"exuberant","80"
"exultant","60"
"exultantly","60"
"fabulous","80"
"fabulously","80"
"fad","-40"
"fag","-60"
"faggot","-60"
"faggots","-60"
"fail","-40"
"failed","-40"
"failing","-40"
"fails","-40"
"failure","-40"
"failures","-40"
"fainthearted","-40"
"fair","40"
"fairness","40"
"faith","20"
"faithful","60"
"fake","-60"
"faker","-60"
"fakes","-60"
"faking","-60"
"fallen","-40"
"falling","-20"
"false","-20"
"falsely","-40"
"falsified","-60"
"falsify","-60"
"fame","20"
"famine","-40"
"famous","40"
"fan","60"
"fantastic","80"
"farce","-20"
"fascinate","60"
"fascinated","60"
"fascinates","60"
"fascinating","60"
"fascination","60"
"fascist","-40"
"fascists","-40"
"fatal","-60"
"fatalities","-60"
"fatality","-60"
"fatigue","-40"
"fatigued","-40"
"fatigues","-40"
"fatiguing","-40"
"favor","40"
"favorable","40"
"favorably","40"
"favored","40"
"favorite","40"
"favorited","40"
"favorites","40"
"favors","40"
"favour","40"
"favourable","40"
"favourably","40"
"favoured","40"
"favourite","40"
"favourited","40"
"favourites","40"
"favours","40"
"fear","-40"
"fearful","-40"
"fearfully","-40"
"fearing","-40"
"fearless","40"
"fearlessness","40"
"fearsome","-40"
"fed up","-60"
"feeble","-40"
"feeling","20"
"felonies","-60"
"felony","-60"
"fertile","40"
"fervent","40"
"fervid","40"
"festive","40"
"fever","-40"
"fiasco","-60"
"fidgety","-40"
"fight","-20"
"fighting","-40"
"fine","40"
"fines","-40"
"finest","60"
"fire","-40"
"fired","-40"
"firing","-40"
"fit","20"
"fitness","20"
"filth","-40"
"filthy","-40"
"flagship","40"
"flaw","-40"
"flawed","-60"
"flawless","40"
"flawlessly","40"
"flaws","-40"
"flees","-20"
"flop","-40"
"flops","-40"
"flu","-40"
"flustered","-40"
"focused","40"
"fond","40"
"fondness","40"
"fool","-40"
"foolish","-40"
"fools","-40"
"forbid","-20"
"forbidden","-40"
"forbidding","-40"
"forced","-20"
"foreclosure","-40"
"foreclosures","-40"
"forefront","20"
"forget","-20"
"forgetful","-40"
"forgettable","-20"
"forgive","20"
"forgiving","20"
"forgot","-20"
"forgotten","-20"
"fortune","40"
"fortunate","40"
"fortunately","40"
"foul","-60"
"frantic","-20"
"fraud","-80"
"frauds","-80"
"fraudster","-80"
"fraudsters","-80"
"fraudulence","-80"
"fraudulent","-80"
"freak","-40"
"free","20"
"freedom","40"
"freedoms","40"
"frenzy","-60"
"fresh","20"
"friend","20"
"friendliness","40"
"friendly","40"
"friendship","40"
"fright","-40"
"frightened","-40"
"frightening","-60"
"frikin","-40"
"frisky","40"
"frowning","-20"
"fruitless","-40"
"frustrate","-40"
"frustrated","-40"
"frustrates","-40"
"frustrating","-40"
"frustration","-40"
"ftw","60"
"fuck","-80"
"fucked","-80"
"fucker","-80"
"fuckers","-80"
"fuckface","-80"
"fuckhead","-80"
"fuckin","-80"
"fucking","-80"
"fucking amazing","80"
"fucking beautiful","80"
"fucking cute","80"
"fucking fantastic","80"
"fucking good","80"
"fucking great","80"
"fucking hot","40"
"fucking love","80"
"fucking loves","80"
"fucking perfect","80"
"fucktard","-80"
"fud","-60"
"fuked","-80"
"fuking","-80"
"fulfill","40"
"fulfilled","40"
"fulfillment","40"
"fulfills","40"
"fuming","-40"
"fun","80"
"funeral","-20"
"funerals","-20"
"funky","40"
"funnier","80"
"funny","80"
"furious","-60"
"futile","-40"
"gag","-40"
"gagged","-40"
"gain","40"
"gained","40"
"gaining","40"
"gains","40"
"gallant","60"
"gallantly","60"
"gallantry","60"
"game-changing","60"
"garbage","-20"
"gem","60"
"generous","40"
"generously","40"
"genial","60"
"ghastly","-40"
"ghost","-20"
"giddy","-40"
"gift","40"
"glad","60"
"glamorous","60"
"glamourous","60"
"glee","60"
"gleeful","60"
"gloom","-20"
"gloomy","-40"
"glorious","40"
"glory","40"
"glum","-40"
"god","20"
"goddamn","-60"
"godsend","80"
"gold","40"
"good","60"
"goodlooking","60"
"goodmorning","20"
"goodness","60"
"goodwill","60"
"goofiness","-40"
"goofy","-40"
"grace","20"
"graceful","40"
"gracious","60"
"grand","60"
"grant","20"
"granted","20"
"granting","20"
"grants","20"
"grateful","60"
"gratification","40"
"grave","-40"
"gray","-20"
"grisly","-40"
"gr8","60"
"great","60"
"greater","60"
"greatest","60"
"greed","-60"
"greedy","-40"
"green wash","-60"
"green washing","-60"
"greenwash","-60"
"greenwasher","-60"
"greenwashers","-60"
"greenwashing","-60"
"greet","20"
"greeted","20"
"greeting","20"
"greetings","40"
"greets","20"
"grey","-20"
"grief","-40"
"grieved","-40"
"grim","-40"
"gripping","40"
"groan","-40"
"groaned","-40"
"groaning","-40"
"groans","-40"
"gross","-40"
"growing","20"
"growth","40"
"growths","40"
"gruesome","-60"
"guarantee","20"
"guilt","-60"
"guilty","-60"
"gullibility","-40"
"gullible","-40"
"gun","-20"
"ha","40"
"hacked","-20"
"haha","60"
"hahaha","60"
"hahahah","60"
"hail","40"
"hailed","40"
"hallelujah","60"
"handpicked","20"
"handsome","60"
"hapless","-40"
"haplessness","-40"
"happiest","60"
"happiness","60"
"happy","60"
"harass","-60"
"harassed","-60"
"harasses","-60"
"harassing","-60"
"harassment","-60"
"hard","-20"
"hardier","40"
"hardship","-40"
"hardy","40"
"harm","-40"
"harmed","-40"
"harmful","-40"
"harming","-40"
"harmony","40"
"harmonious","40"
"harmoniously","40"
"harms","-40"
"harried","-40"
"harsh","-40"
"harsher","-40"
"harshest","-40"
"harshly","-40"
"hate","-60"
"hated","-60"
"hater","-60"
"haters","-60"
"hates","-60"
"hating","-60"
"hatred","-60"
"haunt","-20"
"haunted","-40"
"haunting","20"
"haunts","-20"
"havoc","-40"
"hazardous","-60"
"headache","-40"
"healthy","40"
"heartbreaking","-60"
"heartbroken","-60"
"heartfelt","60"
"heartless","-40"
"heartwarming","60"
"heaven","40"
"heavenly","80"
"heavyhearted","-40"
"hehe","40"
"hell","-80"
"hellish","-40"
"help","40"
"helpful","40"
"helping","40"
"helpless","-40"
"helps","40"
"hero","40"
"heroes","40"
"heroic","60"
"hesitant","-40"
"hesitate","-40"
"hid","-20"
"hide","-20"
"hideous","-60"
"hides","-20"
"hiding","-20"
"highlight","40"
"hilarious","40"
"hinder","-40"
"hindrance","-40"
"hoax","-40"
"hollow","-20"
"homeless","-40"
"homesick","-40"
"homicide","-40"
"homicides","-40"
"honest","40"
"honor","40"
"honored","40"
"honoring","40"
"honour","40"
"honoured","40"
"honouring","40"
