"term","sentiment"
"unoriginal","-40"
"unparliamentary","-40"
"unpleasant","-40"
"unpleasantness","-40"
"unprofessional","-40"
"unravel","20"
"unreleting","-40"
"unresearched","-40"
"unsafe","-40"
"unsatisfied","-40"
"unscientific","-40"
"unsecured","-40"
"unselfish","40"
"unsettled","-20"
"unsold","-20"
"unsophisticated","-40"
"unsound","-40"
"unstable","-40"
"unstoppable","40"
"unsuccessful","-40"
"unsuccessfully","-40"
"unsupported","-40"
"unsure","-20"
"untarnished","40"
"untrue","-40"
"unwanted","-40"
"unworthy","-40"
"uplifting","40"
"uproar","-60"
"upset","-40"
"upsets","-40"
"upsetting","-40"
"uptight","-40"
"urgent","-20"
"useful","40"
"usefulness","40"
"useless","-40"
"uselessness","-40"
"vague","-40"
"validate","20"
"validated","20"
"validates","20"
"validating","20"
"vapid","-40"
"verdict","-20"
"verdicts","-20"
"vested","20"
"vexation","-40"
"vexing","-40"
"vibrant","60"
"vicious","-40"
"victim","-60"
"victimization","-60"
"victimize","-60"
"victimized","-60"
"victimizes","-60"
"victimizing","-60"
"victims","-60"
"victor","60"
"victors","60"
"victory","60"
"victories","60"
"vigilant","60"
"vigor","60"
"vile","-60"
"vindicate","40"
"vindicated","40"
"vindicates","40"
"vindicating","40"
"violate","-40"
"violated","-40"
"violates","-40"
"violating","-40"
"violation","-40"
"violations","-40"
"violence","-60"
"violence-related","-60"
"violent","-60"
"violently","-60"
"virtuous","40"
"virulent","-40"
"vision","20"
"visionary","60"
"visioning","20"
"visions","20"
"vitality","60"
"vitamin","20"
"vitriolic","-60"
"vivacious","60"
"vividly","40"
"vociferous","-20"
"vomit","-60"
"vomited","-60"
"vomiting","-60"
"vomits","-60"
"vulnerability","-40"
"vulnerable","-40"
"walkout","-40"
"walkouts","-40"
"wanker","-60"
"want","20"
"war","-40"
"warfare","-40"
"warm","20"
"warmhearted","40"
"warmness","40"
"warmth","40"
"warn","-40"
"warned","-40"
"warning","-60"
"warnings","-60"
"warns","-40"
"waste","-20"
"wasted","-40"
"wasting","-40"
"wavering","-20"
"weak","-40"
"weakened","-40"
"weakness","-40"
"weaknesses","-40"
"wealth","60"
"wealthier","40"
"wealthy","40"
"weary","-40"
"weep","-40"
"weeping","-40"
"weird","-40"
"welcome","40"
"welcomed","40"
"welcomes","40"
"well-being","40"
"well-championed","60"
"well-developed","40"
"well-established","40"
"well-focused","40"
"well-groomed","40"
"well-proportioned","40"
"whimsical","20"
"whitewash","-60"
"whore","-80"
"wicked","-40"
"widowed","-20"
"willingness","40"
"win","80"
"winner","80"
"winning","80"
"wins","80"
"winwin","60"
"wisdom","20"
"wish","20"
"wishes","20"
"wishing","20"
"withdrawal","-60"
"wits","40"
"woebegone","-40"
"woeful","-60"
"won","60"
"wonderful","80"
"wonderfully","80"
"woo","60"
"woohoo","60"
"wooo","80"
"woow","80"
"worn","-20"
"worried","-60"
"worries","-60"
"worry","-60"
"worrying","-60"
"worse","-60"
"worsen","-60"
"worsened","-60"
"worsening","-60"
"worsens","-60"
"worshiped","60"
"worst","-60"
"worth","40"
"worthless","-40"
"worthy","40"
"wow","80"
"wowow","80"
"wowww","80"
"wrathful","-60"
"wreck","-40"
"wrenching","-40"
"wrong","-40"
"wrongdoing","-40"
"wrongdoings","-40"
"wronged","-40"
"wrongful","-40"
"wrongfully","-40"
"wrongly","-40"
"wtf","-80"
"wtff","-80"
"wtfff","-80"
"xo","60"
"xoxo","60"
"xoxoxo","80"
"xoxoxoxo","80"
"yeah","20"
"yearning","20"
"yeees","40"
"yes","20"
"youthful","40"
"yucky","-40"
"yummy","60"
"zealot","-40"
"zealots","-40"
"zealous","40"
